Country,Continent,Category,Bucket,uniqueID,Freq,adj_Bucket
Sudan,Africa,Health Expenditure Per Person,1,AfricaHealth Expenditure Per Person1,47,1
Suriname,South America,Health Expenditure Per Person,2,South AmericaHealth Expenditure Per Person2,5,2
Sweden,Europe,Health Expenditure Per Person,6,EuropeHealth Expenditure Per Person6,6,6
Switzerland,Europe,Health Expenditure Per Person,8,EuropeHealth Expenditure Per Person8,1,8
Syria,Asia,Health Expenditure Per Person,No Data,AsiaHealth Expenditure Per PersonNo Data,5,No Data
Taiwan,Asia,Health Expenditure Per Person,No Data,AsiaHealth Expenditure Per PersonNo Data,5,No Data
Tajikistan,Asia,Health Expenditure Per Person,1,AsiaHealth Expenditure Per Person1,22,1
Tanzania,Africa,Health Expenditure Per Person,1,AfricaHealth Expenditure Per Person1,47,1
Thailand,Asia,Health Expenditure Per Person,1,AsiaHealth Expenditure Per Person1,22,1
Timor-Leste,Asia,Health Expenditure Per Person,1,AsiaHealth Expenditure Per Person1,22,1
Togo,Africa,Health Expenditure Per Person,1,AfricaHealth Expenditure Per Person1,47,1
Tonga,Oceania,Health Expenditure Per Person,1,OceaniaHealth Expenditure Per Person1,10,1
Trinidad and Tobago,North America,Health Expenditure Per Person,3,North AmericaHealth Expenditure Per Person3,1,3
Tunisia,Africa,Health Expenditure Per Person,1,AfricaHealth Expenditure Per Person1,47,1
Turkey,Asia,Health Expenditure Per Person,2,AsiaHealth Expenditure Per Person2,7,2
Turkmenistan,Asia,Health Expenditure Per Person,2,AsiaHealth Expenditure Per Person2,7,2
Tuvalu,Oceania,Health Expenditure Per Person,1,OceaniaHealth Expenditure Per Person1,10,1
Uganda,Africa,Health Expenditure Per Person,1,AfricaHealth Expenditure Per Person1,47,1
Ukraine,Europe,Health Expenditure Per Person,1,EuropeHealth Expenditure Per Person1,7,1
United Arab Emirates,Asia,Health Expenditure Per Person,3,AsiaHealth Expenditure Per Person3,4,3
United Kingdom,UN Security Council,Health Expenditure Per Person,5,UN Security CouncilHealth Expenditure Per Person5,2,5
United States,UN Security Council,Health Expenditure Per Person,10,UN Security CouncilHealth Expenditure Per Person10,1,10
Uruguay,South America,Health Expenditure Per Person,2,South AmericaHealth Expenditure Per Person2,5,2
Uzbekistan,Asia,Health Expenditure Per Person,1,AsiaHealth Expenditure Per Person1,22,1
Vanuatu,Oceania,Health Expenditure Per Person,1,OceaniaHealth Expenditure Per Person1,10,1
Venezuela,South America,Health Expenditure Per Person,1,South AmericaHealth Expenditure Per Person1,7,1
Vietnam,Asia,Health Expenditure Per Person,1,AsiaHealth Expenditure Per Person1,22,1
Yemen,Asia,Health Expenditure Per Person,1,AsiaHealth Expenditure Per Person1,22,1
Zambia,Africa,Health Expenditure Per Person,1,AfricaHealth Expenditure Per Person1,47,1
Zimbabwe,Africa,Health Expenditure Per Person,1,AfricaHealth Expenditure Per Person1,47,1
Afghanistan,Asia,Education Expenditure% Of Gdp,5,AsiaEducation Expenditure% Of Gdp5,2,5
Albania,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Algeria,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Andorra,Europe,Education Expenditure% Of Gdp,3,EuropeEducation Expenditure% Of Gdp3,2,3
Angola,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Antigua & Barbuda,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Argentina,South America,Education Expenditure% Of Gdp,7,South AmericaEducation Expenditure% Of Gdp7,1,7
Armenia,Europe,Education Expenditure% Of Gdp,2,EuropeEducation Expenditure% Of Gdp2,1,2
Australia,Oceania,Education Expenditure% Of Gdp,7,OceaniaEducation Expenditure% Of Gdp7,1,7
Austria,Europe,Education Expenditure% Of Gdp,7,EuropeEducation Expenditure% Of Gdp7,6,7
Azerbaijan,Europe,Education Expenditure% Of Gdp,3,EuropeEducation Expenditure% Of Gdp3,2,3
Bahamas,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Bahrain,Asia,Education Expenditure% Of Gdp,3,AsiaEducation Expenditure% Of Gdp3,4,3
Bangladesh,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Barbados,North America,Education Expenditure% Of Gdp,8,North AmericaEducation Expenditure% Of Gdp8,2,8
Belarus,Europe,Education Expenditure% Of Gdp,6,EuropeEducation Expenditure% Of Gdp6,5,6
Belgium,Europe,Education Expenditure% Of Gdp,9,EuropeEducation Expenditure% Of Gdp9,1,9
Belize,North America,Education Expenditure% Of Gdp,9,North AmericaEducation Expenditure% Of Gdp9,2,9
Benin,Africa,Education Expenditure% Of Gdp,5,AfricaEducation Expenditure% Of Gdp5,2,5
Bhutan,Asia,Education Expenditure% Of Gdp,8,AsiaEducation Expenditure% Of Gdp8,2,8
Bolivia,South America,Education Expenditure% Of Gdp,10,South AmericaEducation Expenditure% Of Gdp10,1,10
Bosnia and Herzegovina,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Botswana,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Brazil,South America,Education Expenditure% Of Gdp,8,South AmericaEducation Expenditure% Of Gdp8,1,8
Brunei,Asia,Education Expenditure% Of Gdp,4,AsiaEducation Expenditure% Of Gdp4,5,4
Bulgaria,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Burkina Faso,Africa,Education Expenditure% Of Gdp,6,AfricaEducation Expenditure% Of Gdp6,7,6
Burundi,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Cabo Verde,Africa,Education Expenditure% Of Gdp,6,AfricaEducation Expenditure% Of Gdp6,7,6
Cambodia,Asia,Education Expenditure% Of Gdp,2,AsiaEducation Expenditure% Of Gdp2,2,2
Cameroon,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Canada,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Central African Republic,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Chad,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Chile,South America,Education Expenditure% Of Gdp,6,South AmericaEducation Expenditure% Of Gdp6,2,6
China,UN Security Council,Education Expenditure% Of Gdp,No Data,UN Security CouncilEducation Expenditure% Of GdpNo Data,2,No Data
Colombia,South America,Education Expenditure% Of Gdp,6,South AmericaEducation Expenditure% Of Gdp6,2,6
Comoros,Africa,Education Expenditure% Of Gdp,6,AfricaEducation Expenditure% Of Gdp6,7,6
Congo (Dem. Rep.),Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Congo (Rep.),Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Costa Rica,North America,Education Expenditure% Of Gdp,9,North AmericaEducation Expenditure% Of Gdp9,2,9
Cote d'Ivoire,Africa,Education Expenditure% Of Gdp,6,AfricaEducation Expenditure% Of Gdp6,7,6
Croatia,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Cuba,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Cyprus,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Czech Republic,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Denmark,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Djibouti,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Dominica,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Dominican Republic,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Ecuador,South America,Education Expenditure% Of Gdp,No Data,South AmericaEducation Expenditure% Of GdpNo Data,6,No Data
Egypt,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
El Salvador,North America,Education Expenditure% Of Gdp,4,North AmericaEducation Expenditure% Of Gdp4,1,4
Equatorial Guinea,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Eritrea,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Estonia,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Eswatini,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Ethiopia,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Fiji,Oceania,Education Expenditure% Of Gdp,No Data,OceaniaEducation Expenditure% Of GdpNo Data,11,No Data
Finland,Europe,Education Expenditure% Of Gdp,10,EuropeEducation Expenditure% Of Gdp10,5,10
France,UN Security Council,Education Expenditure% Of Gdp,7,UN Security CouncilEducation Expenditure% Of Gdp7,1,7
Gabon,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
"Gambia, The",Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Georgia,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Germany,Europe,Education Expenditure% Of Gdp,6,EuropeEducation Expenditure% Of Gdp6,5,6
Ghana,Africa,Education Expenditure% Of Gdp,8,AfricaEducation Expenditure% Of Gdp8,2,8
Greece,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Grenada,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Guatemala,North America,Education Expenditure% Of Gdp,3,North AmericaEducation Expenditure% Of Gdp3,1,3
Guinea,Africa,Education Expenditure% Of Gdp,3,AfricaEducation Expenditure% Of Gdp3,2,3
Guinea-Bissau,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Guyana,South America,Education Expenditure% Of Gdp,No Data,South AmericaEducation Expenditure% Of GdpNo Data,6,No Data
Haiti,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Honduras,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Hungary,Europe,Education Expenditure% Of Gdp,6,EuropeEducation Expenditure% Of Gdp6,5,6
Iceland,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
India,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Indonesia,Asia,Education Expenditure% Of Gdp,4,AsiaEducation Expenditure% Of Gdp4,5,4
Iran,Asia,Education Expenditure% Of Gdp,3,AsiaEducation Expenditure% Of Gdp3,4,3
Iraq,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Ireland,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Israel,Asia,Education Expenditure% Of Gdp,8,AsiaEducation Expenditure% Of Gdp8,2,8
Italy,Europe,Education Expenditure% Of Gdp,5,EuropeEducation Expenditure% Of Gdp5,5,5
Jamaica,North America,Education Expenditure% Of Gdp,8,North AmericaEducation Expenditure% Of Gdp8,2,8
Japan,Asia,Education Expenditure% Of Gdp,4,AsiaEducation Expenditure% Of Gdp4,5,4
Jordan,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Kazakhstan,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Kenya,Africa,Education Expenditure% Of Gdp,7,AfricaEducation Expenditure% Of Gdp7,1,7
Kiribati,Oceania,Education Expenditure% Of Gdp,No Data,OceaniaEducation Expenditure% Of GdpNo Data,11,No Data
Korea (Dem. People’s Rep.),Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Korea (Rep.),Asia,Education Expenditure% Of Gdp,7,AsiaEducation Expenditure% Of Gdp7,3,7
Kosovo,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Kuwait,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Kyrgyzstan,Asia,Education Expenditure% Of Gdp,7,AsiaEducation Expenditure% Of Gdp7,3,7
Laos,Asia,Education Expenditure% Of Gdp,3,AsiaEducation Expenditure% Of Gdp3,4,3
Latvia,Europe,Education Expenditure% Of Gdp,7,EuropeEducation Expenditure% Of Gdp7,6,7
Lebanon,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Lesotho,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Liberia,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Libya,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Liechtenstein,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Lithuania,Europe,Education Expenditure% Of Gdp,6,EuropeEducation Expenditure% Of Gdp6,5,6
Luxembourg,Europe,Education Expenditure% Of Gdp,5,EuropeEducation Expenditure% Of Gdp5,5,5
Macedonia,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Madagascar,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Malawi,Africa,Education Expenditure% Of Gdp,6,AfricaEducation Expenditure% Of Gdp6,7,6
Malaysia,Asia,Education Expenditure% Of Gdp,7,AsiaEducation Expenditure% Of Gdp7,3,7
Maldives,Asia,Education Expenditure% Of Gdp,4,AsiaEducation Expenditure% Of Gdp4,5,4
Mali,Africa,Education Expenditure% Of Gdp,4,AfricaEducation Expenditure% Of Gdp4,2,4
Malta,Europe,Education Expenditure% Of Gdp,10,EuropeEducation Expenditure% Of Gdp10,5,10
Marshall Islands,Oceania,Education Expenditure% Of Gdp,No Data,OceaniaEducation Expenditure% Of GdpNo Data,11,No Data
Mauritania,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Mauritius,Africa,Education Expenditure% Of Gdp,6,AfricaEducation Expenditure% Of Gdp6,7,6
Mexico,North America,Education Expenditure% Of Gdp,7,North AmericaEducation Expenditure% Of Gdp7,1,7
Micronesia,Oceania,Education Expenditure% Of Gdp,No Data,OceaniaEducation Expenditure% Of GdpNo Data,11,No Data
Moldova,Europe,Education Expenditure% Of Gdp,10,EuropeEducation Expenditure% Of Gdp10,5,10
Monaco,Europe,Education Expenditure% Of Gdp,1,EuropeEducation Expenditure% Of Gdp1,1,1
Mongolia,Asia,Education Expenditure% Of Gdp,6,AsiaEducation Expenditure% Of Gdp6,2,6
Montenegro,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Morocco,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Mozambique,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Myanmar,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Namibia,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Nauru,Oceania,Education Expenditure% Of Gdp,No Data,OceaniaEducation Expenditure% Of GdpNo Data,11,No Data
Nepal,Asia,Education Expenditure% Of Gdp,5,AsiaEducation Expenditure% Of Gdp5,2,5
Netherlands,Europe,Education Expenditure% Of Gdp,7,EuropeEducation Expenditure% Of Gdp7,6,7
New Zealand,Oceania,Education Expenditure% Of Gdp,9,OceaniaEducation Expenditure% Of Gdp9,1,9
Nicaragua,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Niger,Africa,Education Expenditure% Of Gdp,9,AfricaEducation Expenditure% Of Gdp9,1,9
Nigeria,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Norway,Europe,Education Expenditure% Of Gdp,10,EuropeEducation Expenditure% Of Gdp10,5,10
Oman,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Pakistan,Asia,Education Expenditure% Of Gdp,3,AsiaEducation Expenditure% Of Gdp3,4,3
Palau,Oceania,Education Expenditure% Of Gdp,No Data,OceaniaEducation Expenditure% Of GdpNo Data,11,No Data
Panama,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Papua New Guinea,Oceania,Education Expenditure% Of Gdp,No Data,OceaniaEducation Expenditure% Of GdpNo Data,11,No Data
Paraguay,South America,Education Expenditure% Of Gdp,No Data,South AmericaEducation Expenditure% Of GdpNo Data,6,No Data
Peru,South America,Education Expenditure% Of Gdp,5,South AmericaEducation Expenditure% Of Gdp5,1,5
Philippines,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Poland,Europe,Education Expenditure% Of Gdp,6,EuropeEducation Expenditure% Of Gdp6,5,6
Portugal,Europe,Education Expenditure% Of Gdp,7,EuropeEducation Expenditure% Of Gdp7,6,7
Qatar,Asia,Education Expenditure% Of Gdp,4,AsiaEducation Expenditure% Of Gdp4,5,4
Romania,Europe,Education Expenditure% Of Gdp,4,EuropeEducation Expenditure% Of Gdp4,1,4
Russia,UN Security Council,Education Expenditure% Of Gdp,No Data,UN Security CouncilEducation Expenditure% Of GdpNo Data,2,No Data
Rwanda,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Saint Kitts and Nevis,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Saint Lucia,North America,Education Expenditure% Of Gdp,5,North AmericaEducation Expenditure% Of Gdp5,1,5
Saint Vincent and the Grenadines,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Samoa,Oceania,Education Expenditure% Of Gdp,No Data,OceaniaEducation Expenditure% Of GdpNo Data,11,No Data
San Marino,Europe,Education Expenditure% Of Gdp,No Data,EuropeEducation Expenditure% Of GdpNo Data,17,No Data
Sao Tome and Principe,Africa,Education Expenditure% Of Gdp,5,AfricaEducation Expenditure% Of Gdp5,2,5
Saudi Arabia,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Senegal,Africa,Education Expenditure% Of Gdp,10,AfricaEducation Expenditure% Of Gdp10,2,10
Serbia,Europe,Education Expenditure% Of Gdp,5,EuropeEducation Expenditure% Of Gdp5,5,5
Seychelles,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Sierra Leone,Africa,Education Expenditure% Of Gdp,3,AfricaEducation Expenditure% Of Gdp3,2,3
Singapore,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Slovakia,Europe,Education Expenditure% Of Gdp,5,EuropeEducation Expenditure% Of Gdp5,5,5
Slovenia,Europe,Education Expenditure% Of Gdp,7,EuropeEducation Expenditure% Of Gdp7,6,7
Solomon Islands,Oceania,Education Expenditure% Of Gdp,No Data,OceaniaEducation Expenditure% Of GdpNo Data,11,No Data
Somalia,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
South Africa,Africa,Education Expenditure% Of Gdp,8,AfricaEducation Expenditure% Of Gdp8,2,8
South Sudan,Africa,Education Expenditure% Of Gdp,2,AfricaEducation Expenditure% Of Gdp2,2,2
Spain,Europe,Education Expenditure% Of Gdp,5,EuropeEducation Expenditure% Of Gdp5,5,5
Sri Lanka,Asia,Education Expenditure% Of Gdp,2,AsiaEducation Expenditure% Of Gdp2,2,2
Sudan,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Suriname,South America,Education Expenditure% Of Gdp,No Data,South AmericaEducation Expenditure% Of GdpNo Data,6,No Data
Sweden,Europe,Education Expenditure% Of Gdp,10,EuropeEducation Expenditure% Of Gdp10,5,10
Switzerland,Europe,Education Expenditure% Of Gdp,7,EuropeEducation Expenditure% Of Gdp7,6,7
Syria,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Taiwan,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Tajikistan,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Tanzania,Africa,Education Expenditure% Of Gdp,4,AfricaEducation Expenditure% Of Gdp4,2,4
Thailand,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Timor-Leste,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Togo,Africa,Education Expenditure% Of Gdp,6,AfricaEducation Expenditure% Of Gdp6,7,6
Tonga,Oceania,Education Expenditure% Of Gdp,No Data,OceaniaEducation Expenditure% Of GdpNo Data,11,No Data
Trinidad and Tobago,North America,Education Expenditure% Of Gdp,No Data,North AmericaEducation Expenditure% Of GdpNo Data,14,No Data
Tunisia,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Turkey,Asia,Education Expenditure% Of Gdp,6,AsiaEducation Expenditure% Of Gdp6,2,6
Turkmenistan,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Tuvalu,Oceania,Education Expenditure% Of Gdp,No Data,OceaniaEducation Expenditure% Of GdpNo Data,11,No Data
Uganda,Africa,Education Expenditure% Of Gdp,2,AfricaEducation Expenditure% Of Gdp2,2,2
Ukraine,Europe,Education Expenditure% Of Gdp,8,EuropeEducation Expenditure% Of Gdp8,1,8
United Arab Emirates,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
United Kingdom,UN Security Council,Education Expenditure% Of Gdp,8,UN Security CouncilEducation Expenditure% Of Gdp8,1,8
United States,UN Security Council,Education Expenditure% Of Gdp,6,UN Security CouncilEducation Expenditure% Of Gdp6,1,6
Uruguay,South America,Education Expenditure% Of Gdp,No Data,South AmericaEducation Expenditure% Of GdpNo Data,6,No Data
Uzbekistan,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Vanuatu,Oceania,Education Expenditure% Of Gdp,6,OceaniaEducation Expenditure% Of Gdp6,1,6
Venezuela,South America,Education Expenditure% Of Gdp,No Data,South AmericaEducation Expenditure% Of GdpNo Data,6,No Data
Vietnam,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Yemen,Asia,Education Expenditure% Of Gdp,No Data,AsiaEducation Expenditure% Of GdpNo Data,23,No Data
Zambia,Africa,Education Expenditure% Of Gdp,No Data,AfricaEducation Expenditure% Of GdpNo Data,33,No Data
Zimbabwe,Africa,Education Expenditure% Of Gdp,10,AfricaEducation Expenditure% Of Gdp10,2,10
Afghanistan,Asia,Education Expenditure Per Person ,1,AsiaEducation Expenditure Per Person 1,15,1
Albania,Europe,Education Expenditure Per Person ,No Data,EuropeEducation Expenditure Per Person No Data,19,No Data
Algeria,Africa,Education Expenditure Per Person ,No Data,AfricaEducation Expenditure Per Person No Data,33,No Data
Andorra,Europe,Education Expenditure Per Person ,No Data,EuropeEducation Expenditure Per Person No Data,19,No Data
Angola,Africa,Education Expenditure Per Person ,No Data,AfricaEducation Expenditure Per Person No Data,33,No Data
Antigua & Barbuda,North America,Education Expenditure Per Person ,No Data,North AmericaEducation Expenditure Per Person No Data,14,No Data
Argentina,South America,Education Expenditure Per Person ,1,South AmericaEducation Expenditure Per Person 1,6,1
Armenia,Europe,Education Expenditure Per Person ,1,EuropeEducation Expenditure Per Person 1,10,1
Australia,Oceania,Education Expenditure Per Person ,5,OceaniaEducation Expenditure Per Person 5,1,5
Austria,Europe,Education Expenditure Per Person ,4,EuropeEducation Expenditure Per Person 4,3,4
Azerbaijan,Europe,Education Expenditure Per Person ,1,EuropeEducation Expenditure Per Person 1,10,1
Bahamas,North America,Education Expenditure Per Person ,No Data,North AmericaEducation Expenditure Per Person No Data,14,No Data
Bahrain,Asia,Education Expenditure Per Person ,1,AsiaEducation Expenditure Per Person 1,15,1
Bangladesh,Asia,Education Expenditure Per Person ,No Data,AsiaEducation Expenditure Per Person No Data,23,No Data
Barbados,North America,Education Expenditure Per Person ,2,North AmericaEducation Expenditure Per Person 2,1,2
Belarus,Europe,Education Expenditure Per Person ,1,EuropeEducation Expenditure Per Person 1,10,1
Belgium,Europe,Education Expenditure Per Person ,5,EuropeEducation Expenditure Per Person 5,2,5
Belize,North America,Education Expenditure Per Person ,1,North AmericaEducation Expenditure Per Person 1,7,1
Benin,Africa,Education Expenditure Per Person ,1,AfricaEducation Expenditure Per Person 1,21,1
Bhutan,Asia,Education Expenditure Per Person ,1,AsiaEducation Expenditure Per Person 1,15,1
Bolivia,South America,Education Expenditure Per Person ,1,South AmericaEducation Expenditure Per Person 1,6,1
Bosnia and Herzegovina,Europe,Education Expenditure Per Person ,No Data,EuropeEducation Expenditure Per Person No Data,19,No Data
Botswana,Africa,Education Expenditure Per Person ,No Data,AfricaEducation Expenditure Per Person No Data,33,No Data
Brazil,South America,Education Expenditure Per Person ,1,South AmericaEducation Expenditure Per Person 1,6,1
Brunei,Asia,Education Expenditure Per Person ,2,AsiaEducation Expenditure Per Person 2,3,2
Bulgaria,Europe,Education Expenditure Per Person ,No Data,EuropeEducation Expenditure Per Person No Data,19,No Data
Burkina Faso,Africa,Education Expenditure Per Person ,1,AfricaEducation Expenditure Per Person 1,21,1
Burundi,Africa,Education Expenditure Per Person ,No Data,AfricaEducation Expenditure Per Person No Data,33,No Data
Cabo Verde,Africa,Education Expenditure Per Person ,1,AfricaEducation Expenditure Per Person 1,21,1
Cambodia,Asia,Education Expenditure Per Person ,1,AsiaEducation Expenditure Per Person 1,15,1
Cameroon,Africa,Education Expenditure Per Person ,No Data,AfricaEducation Expenditure Per Person No Data,33,No Data
Canada,North America,Education Expenditure Per Person ,No Data,North AmericaEducation Expenditure Per Person No Data,14,No Data
Central African Republic,Africa,Education Expenditure Per Person ,No Data,AfricaEducation Expenditure Per Person No Data,33,No Data
Chad,Africa,Education Expenditure Per Person ,No Data,AfricaEducation Expenditure Per Person No Data,33,No Data
